date,region,product,sales,quantity,customer_satisfaction
2024-01-01,North,Product A,15000,150,4.5
2024-01-01,South,Product B,12000,120,4.2
2024-01-01,East,Product A,18000,180,4.7
2024-01-01,West,Product C,10000,100,3.9
2024-01-02,North,Product B,14000,140,4.4
2024-01-02,South,Product C,13000,130,4.1
2024-01-02,East,Product B,16000,160,4.6
2024-01-02,West,Product A,11000,110,4.0
2024-01-03,North,Product C,13000,130,4.3
2024-01-03,South,Product A,15000,150,4.5
2024-01-03,East,Product C,14000,140,4.2
2024-01-03,West,Product B,12000,120,4.3
2024-01-04,North,Product A,16000,160,4.6
2024-01-04,South,Product B,14000,140,4.4
2024-01-04,East,Product A,19000,190,4.8
2024-01-04,West,Product C,11000,110,4.1
2024-01-05,North,Product B,15000,150,4.5
2024-01-05,South,Product C,13000,130,4.2
2024-01-05,East,Product B,17000,170,4.7
2024-01-05,West,Product A,12000,120,4.2
2024-01-06,North,Product C,14000,140,4.4
2024-01-06,South,Product A,16000,160,4.6
2024-01-06,East,Product C,15000,150,4.3
2024-01-06,West,Product B,13000,130,4.4
2024-01-07,North,Product A,17000,170,4.7
2024-01-07,South,Product B,15000,150,4.5
2024-01-07,East,Product A,20000,200,4.9
2024-01-07,West,Product C,12000,120,4.2
2024-01-08,North,Product B,16000,160,4.6
2024-01-08,South,Product C,14000,140,4.3
2024-01-08,East,Product B,18000,180,4.8
2024-01-08,West,Product A,13000,130,4.3
2024-01-09,North,Product C,15000,150,4.5
2024-01-09,South,Product A,17000,170,4.7
2024-01-09,East,Product C,16000,160,4.4
2024-01-09,West,Product B,14000,140,4.5
2024-01-10,North,Product A,18000,180,4.8
2024-01-10,South,Product B,16000,160,4.6
2024-01-10,East,Product A,21000,210,5.0
2024-01-10,West,Product C,15000,150,4.4
